,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,home_wins,away_wins,favorite_margin,primetime,team_favorite_id,favorite_cover,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,who_covered,day_week,primetime,winning_score,losing_score,win_margin,home_margin,away_margin,favorite_margin,home_favored_by,home_difference,home_cover,home_favorite_cover,home_dog_cover
73,10/7/79,1979,6,FALSE,CIN,7,10,KC,,,3,FALSE,PICK,TRUE,0,38,Cinergy Field,FALSE,49,14,68,,PICK,Sunday,FALSE,10,7,3,-3,3,3,0,-3,FALSE,AWAY FAV,HOME FAV
74,10/7/79,1979,6,FALSE,CLE,35,51,PIT,,,16,FALSE,PIT,TRUE,-4,36,Cleveland Municipal Stadium,FALSE,48,17,87,,PIT,Sunday,FALSE,51,35,16,-16,16,16,-4,-12,FALSE,AWAY FAV,FALSE
75,10/7/79,1979,6,FALSE,DEN,7,0,LAC,,,-7,FALSE,LAC,FALSE,-1,37,Mile High Stadium,FALSE,67,11,26,,DEN,Sunday,FALSE,7,0,7,7,-7,-7,-1,8,TRUE,AWAY FAV,TRUE
76,10/7/79,1979,6,FALSE,TEN,17,24,ARI,,,-7,FALSE,TEN,FALSE,-7,39,Houston Astrodome,FALSE,72,0,,DOME,ARI,Sunday,FALSE,24,17,7,-7,7,-7,7,-14,FALSE,FALSE,HOME FAV
77,10/7/79,1979,6,FALSE,MIN,20,36,DAL,,,16,FALSE,DAL,TRUE,-7,39,Metropolitan Stadium,FALSE,43,5,65,,DAL,Sunday,FALSE,36,20,16,-16,16,16,-7,-9,FALSE,AWAY FAV,FALSE
78,10/7/79,1979,6,FALSE,NE,24,17,DET,,,7,FALSE,NE,FALSE,-13,40,Foxboro Stadium,FALSE,56,13,88,,DET,Sunday,FALSE,24,17,7,7,-7,7,13,-6,FALSE,FALSE,HOME FAV
79,10/7/79,1979,6,FALSE,NO,17,35,LAR,,,18,FALSE,LAR,TRUE,-4,39,Louisiana Superdome,FALSE,72,0,,DOME,LAR,Sunday,FALSE,35,17,18,-18,18,18,-4,-14,FALSE,AWAY FAV,FALSE
80,10/7/79,1979,6,FALSE,NYG,17,14,TB,,,-3,FALSE,TB,FALSE,-6,34,Giants Stadium,FALSE,60,16,55,,NYG,Sunday,FALSE,17,14,3,3,-3,-3,-6,9,TRUE,AWAY FAV,TRUE
81,10/7/79,1979,6,FALSE,PHI,28,17,WAS,,,11,FALSE,PHI,TRUE,-1,37,Veterans Stadium,FALSE,57,14,76,,PHI,Sunday,FALSE,28,17,11,11,-11,11,1,10,TRUE,TRUE,HOME FAV
82,10/7/79,1979,6,FALSE,SF,24,35,SEA,,,11,FALSE,SEA,TRUE,-5,43,Candlestick Park,FALSE,61,14,77,,SEA,Sunday,FALSE,35,24,11,-11,11,11,-5,-6,FALSE,AWAY FAV,FALSE
83,10/8/79,1979,6,FALSE,LVR,13,3,MIA,,,-10,TRUE,MIA,FALSE,-1,39,Oakland Coliseum,FALSE,63,12,78,,LVR,Monday,TRUE,13,3,10,10,-10,-10,-1,11,TRUE,AWAY FAV,TRUE
