schedule_season,schedule_week,team_home,score_home,score_away,team_away,favorite_margin,team_favorite_id,favorite_cover,spread_favorite,home_cover,fits_shank,fits_wever,fits_vergin,fits_vergin_monday,fits_gandar,fits_davis,fits_fodor
1985,9,GB,10,16,CHI,6,CHI,FALSE,-9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,9,TEN,23,20,KC,3,TEN,TRUE,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,IND,17,35,NYJ,18,NYJ,TRUE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,LAR,28,10,NO,18,LAR,TRUE,-7.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,MIN,16,13,DET,3,MIN,FALSE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,NE,17,13,MIA,-4,PICK,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,NYG,22,20,TB,2,NYG,FALSE,-12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,PIT,10,9,CLE,1,PIT,FALSE,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,LAC,30,10,DEN,-20,DEN,FALSE,-2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,9,SF,24,13,PHI,11,SF,TRUE,-9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,9,SEA,33,3,LVR,30,SEA,TRUE,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,9,ARI,21,10,DAL,-11,DAL,FALSE,-3.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1985,10,BUF,20,0,TEN,-20,TEN,FALSE,-2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,CHI,24,3,DET,21,CHI,TRUE,-9.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,CIN,27,10,CLE,17,CIN,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,KC,28,36,PIT,-8,KC,FALSE,-1.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,MIA,21,17,NYJ,4,MIA,TRUE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,MIN,17,27,GB,-10,MIN,FALSE,-5.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,NE,34,15,IND,19,NE,TRUE,-9.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,NO,3,27,SEA,24,SEA,TRUE,-6.5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
1985,10,NYG,24,19,LAR,5,NYG,TRUE,-4.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,10,PHI,23,17,ATL,6,PHI,FALSE,-8.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,LAC,40,34,LVR,-6,LVR,FALSE,-2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,TB,16,0,ARI,-16,ARI,FALSE,-2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,10,WAS,7,13,DAL,-6,WAS,FALSE,-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,10,DEN,17,16,SF,-1,SF,FALSE,-2.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1985,11,ATL,30,14,LAR,-16,LAR,FALSE,-6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,11,CLE,17,7,BUF,10,CLE,TRUE,-8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,DAL,0,44,CHI,44,PICK,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,DEN,30,24,LAC,6,DEN,TRUE,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,DET,41,21,MIN,20,DET,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,GB,38,14,NO,24,GB,TRUE,-8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,TEN,7,30,PIT,23,PIT,TRUE,-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,IND,20,34,MIA,14,MIA,TRUE,-7.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,LVR,13,6,CIN,7,LVR,TRUE,-6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,NYJ,62,28,TB,34,NYJ,TRUE,-9.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,SF,31,3,KC,28,SF,TRUE,-13,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,SEA,13,20,NE,-7,SEA,FALSE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,11,ARI,14,24,PHI,-10,ARI,FALSE,-2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,11,WAS,23,21,NYG,2,WAS,PUSH,-2,PUSH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,BUF,14,23,MIA,9,MIA,TRUE,-8.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,CHI,36,0,ATL,36,CHI,TRUE,-16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,CLE,24,6,CIN,18,CLE,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,DAL,34,17,PHI,17,DAL,TRUE,-7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,TEN,37,35,LAC,-2,LAC,FALSE,-6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,12,KC,20,7,IND,13,KC,TRUE,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,LVR,31,28,DEN,3,LVR,FALSE,-4.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,LAR,34,17,GB,17,LAR,TRUE,-6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,MIN,23,30,NO,-7,MIN,FALSE,-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,NYJ,16,13,NE,3,NYJ,FALSE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,12,PIT,23,30,WAS,-7,PIT,FALSE,-5.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,12,ARI,3,34,NYG,31,NYG,TRUE,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,12,TB,19,16,DET,-3,DET,FALSE,-1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,12,SF,19,6,SEA,13,SF,TRUE,-6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,13,DAL,35,17,ARI,18,DAL,TRUE,-13,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,13,DET,31,20,NYJ,-11,NYJ,FALSE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,13,ATL,24,34,LVR,10,LVR,TRUE,-7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,13,CIN,45,27,TEN,18,CIN,TRUE,-7.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,13,GB,21,0,TB,21,GB,TRUE,-6.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,13,IND,31,38,NE,7,NE,PUSH,-7,PUSH,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,13,NO,29,3,LAR,-26,LAR,FALSE,-5.5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1985,13,NYG,33,35,CLE,-2,NYG,FALSE,-6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,13,PHI,23,28,MIN,-5,PHI,FALSE,-6.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,13,PIT,23,31,DEN,8,PICK,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,13,LAC,40,7,BUF,33,LAC,TRUE,-10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,13,SEA,24,6,KC,18,SEA,TRUE,-8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,13,WAS,8,35,SF,27,SF,TRUE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,13,MIA,38,24,CHI,-14,CHI,FALSE,-2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
1985,14,BUF,7,27,NYJ,20,NYJ,TRUE,-9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,CHI,17,10,IND,7,CHI,FALSE,-19.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,CIN,50,24,DAL,-26,DAL,FALSE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,DEN,14,17,LVR,-3,DEN,FALSE,-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,GB,24,34,MIA,10,MIA,TRUE,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,TEN,14,35,NYG,21,NYG,TRUE,-7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,KC,38,10,ATL,28,KC,TRUE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,MIN,26,7,TB,19,MIN,TRUE,-6.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,NE,23,6,DET,17,NE,TRUE,-8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,PHI,12,17,WAS,5,WAS,TRUE,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,LAC,54,44,PIT,10,LAC,TRUE,-5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,14,SEA,31,13,CLE,18,SEA,TRUE,-4.5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,14,ARI,28,16,NO,12,ARI,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,14,SF,20,27,LAR,-7,SF,FALSE,-9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,15,DEN,14,13,KC,1,DEN,FALSE,-10.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,NYJ,6,19,CHI,13,CHI,TRUE,-2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,ATL,14,13,MIN,-1,MIN,FALSE,-2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1985,15,CLE,28,21,TEN,7,CLE,FALSE,-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,DAL,28,21,NYG,7,DAL,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,DET,23,26,GB,-3,DET,FALSE,-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,LVR,13,3,SEA,10,LVR,TRUE,-4.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,LAR,46,14,ARI,32,LAR,TRUE,-8.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,NO,19,31,SF,12,SF,TRUE,-10,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1985,15,PIT,30,24,BUF,6,PIT,FALSE,-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,LAC,20,14,PHI,6,LAC,FALSE,-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,TB,23,31,IND,-8,TB,FALSE,-3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,15,WAS,27,24,CIN,3,WAS,TRUE,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
